(z2,s3,pot_s3,s2,pot_s2,z1,s1,pot_s1,s0)
403:(0,1,9,1,9,0,1,11,1)
404:(0,1,9,1,9,0,1,14,0)
405:(0,1,9,1,9,0,1,14,1)
406:(0,1,9,1,12,0,0,0,0)
407:(0,1,9,1,12,0,0,0,1)
408:(0,1,9,1,12,0,0,3,0)
409:(0,1,9,1,12,0,0,3,1)
410:(0,1,9,1,12,0,0,6,0)
411:(0,1,9,1,12,0,0,6,1)
412:(0,1,9,1,12,0,0,9,0)
413:(0,1,9,1,12,0,0,9,1)
414:(0,1,9,1,12,0,0,12,0)
415:(0,1,9,1,12,0,0,12,1)
416:(0,1,9,1,12,0,1,11,0)
417:(0,1,9,1,12,0,1,11,1)
418:(0,1,9,1,12,0,1,14,0)
419:(0,1,9,1,12,0,1,14,1)
420:(0,1,12,0,0,0,0,0,0)
421:(0,1,12,0,0,0,0,0,1)
422:(0,1,12,0,0,0,0,3,0)
423:(0,1,12,0,0,0,0,3,1)
424:(0,1,12,0,0,0,0,6,0)
425:(0,1,12,0,0,0,0,6,1)
426:(0,1,12,0,0,0,0,9,0)
427:(0,1,12,0,0,0,0,9,1)
428:(0,1,12,0,0,0,0,12,0)
429:(0,1,12,0,0,0,0,12,1)
430:(0,1,12,0,0,0,1,11,0)
431:(0,1,12,0,0,0,1,11,1)
432:(0,1,12,0,0,0,1,14,0)
433:(0,1,12,0,0,0,1,14,1)
434:(0,1,12,0,3,0,0,0,0)
435:(0,1,12,0,3,0,0,0,1)
436:(0,1,12,0,3,0,0,3,0)
437:(0,1,12,0,3,0,0,3,1)
438:(0,1,12,0,3,0,0,6,0)
439:(0,1,12,0,3,0,0,6,1)
440:(0,1,12,0,3,0,0,9,0)
441:(0,1,12,0,3,0,0,9,1)
442:(0,1,12,0,3,0,0,12,0)
443:(0,1,12,0,3,0,0,12,1)
444:(0,1,12,0,3,0,1,11,0)
445:(0,1,12,0,3,0,1,11,1)
446:(0,1,12,0,3,0,1,14,0)
447:(0,1,12,0,3,0,1,14,1)
448:(0,1,12,0,6,0,0,0,0)
449:(0,1,12,0,6,0,0,0,1)
450:(0,1,12,0,6,0,0,3,0)
451:(0,1,12,0,6,0,0,3,1)
452:(0,1,12,0,6,0,0,6,0)
453:(0,1,12,0,6,0,0,6,1)
454:(0,1,12,0,6,0,0,9,0)
455:(0,1,12,0,6,0,0,9,1)
456:(0,1,12,0,6,0,0,12,0)
457:(0,1,12,0,6,0,0,12,1)
458:(0,1,12,0,6,0,1,11,0)
459:(0,1,12,0,6,0,1,11,1)
460:(0,1,12,0,6,0,1,14,0)
461:(0,1,12,0,6,0,1,14,1)
462:(0,1,12,0,9,0,0,0,0)
463:(0,1,12,0,9,0,0,0,1)
464:(0,1,12,0,9,0,0,3,0)
465:(0,1,12,0,9,0,0,3,1)
466:(0,1,12,0,9,0,0,6,0)
467:(0,1,12,0,9,0,0,6,1)
468:(0,1,12,0,9,0,0,9,0)
469:(0,1,12,0,9,0,0,9,1)
470:(0,1,12,0,9,0,0,12,0)
471:(0,1,12,0,9,0,0,12,1)
472:(0,1,12,0,9,0,1,11,0)
473:(0,1,12,0,9,0,1,11,1)
474:(0,1,12,0,9,0,1,14,0)
475:(0,1,12,0,9,0,1,14,1)
476:(0,1,12,1,9,0,0,0,0)
477:(0,1,12,1,9,0,0,0,1)
478:(0,1,12,1,9,0,0,3,0)
479:(0,1,12,1,9,0,0,3,1)
480:(0,1,12,1,9,0,0,6,0)
481:(0,1,12,1,9,0,0,6,1)
482:(0,1,12,1,9,0,0,9,0)
483:(0,1,12,1,9,0,0,9,1)
484:(0,1,12,1,9,0,0,12,0)
485:(0,1,12,1,9,0,0,12,1)
486:(0,1,12,1,9,0,1,11,0)
487:(0,1,12,1,9,0,1,11,1)
488:(0,1,12,1,9,0,1,14,0)
489:(0,1,12,1,9,0,1,14,1)
490:(0,1,12,1,12,0,0,0,0)
491:(0,1,12,1,12,0,0,0,1)
